GeoName,Year,variable,value,pop_i,pop_j,euc_dist,per_cap_per_inc,Tot_emp,per_cap_per_inc_j,Tot_emp_j,Dest_fact,Orig_fact
Alabama,2,Tennessee,10539,4816632,6455752,3.09086542353073,35877,2503678,39285,3635195,1,41
Alabama,2,Texas,7468,4816632,26084120,12.5925259082707,35877,2503678,43407,15095912,1,42
Alabama,2,Utah,579,4816632,2854146,25.6946488672117,35877,2503678,36130,1706060,1,43
Alabama,2,Vermont,0,4816632,626361,18.1109646138954,35877,2503678,45334,421809,1,44
Alabama,2,Virginia,3170,4816632,8187456,9.24245058021394,35877,2503678,49571,4856886,1,45
Alabama,2,Washington,1034,4816632,6898599,36.6310897003859,35877,2503678,47728,3909210,1,46
Alabama,2,West Virginia,128,4816632,1857446,8.53620314180072,35877,2503678,35105,918927,1,47
Alabama,2,Wisconsin,760,4816632,5720825,12.2642896797812,35877,2503678,43027,3499405,1,48
Alabama,2,Wyoming,88,4816632,576656,23.1015547725307,35877,2503678,53491,396704,1,49
Alabama,3,Arizona,1077,4831586,6634690,24.8817408146662,36099,2523338,36604,3371219,1,2
Alabama,3,Arkansas,1108,4831586,2960459,5.99456062204918,36099,2523338,36224,1569249,1,3
Alabama,3,California,4918,4831586,38253768,33.0855664512805,36099,2523338,49312,21319995,1,4
Alabama,3,Colorado,698,4831586,5270774,19.7223165819368,36099,2523338,47295,3356175,1,5
Alabama,3,Connecticut,439,4831586,3595792,16.6389979271702,36099,2523338,63539,2246561,1,6
Alabama,3,Delaware,0,4831586,924062,12.9116523638172,36099,2523338,44315,544797,1,7
Alabama,3,District of Columbia,10,4831586,651559,11.5610073218641,36099,2523338,67821,848226,1,8
Alabama,3,Florida,11518,4831586,19551678,5.9891092977696,36099,2523338,40683,10539255,1,9
Alabama,3,Georgia,17867,4831586,9975592,3.38468634544483,36099,2523338,37541,5496783,1,10
Alabama,3,Idaho,222,4831586,1612053,30.1514969123515,36099,2523338,36189,902866,1,11
Alabama,3,Illinois,3126,4831586,12895778,7.65107542935861,36099,2523338,47122,7503158,1,12
Alabama,3,Indiana,1303,4831586,6570575,7.1391186758849,36099,2523338,39635,3684125,1,13
Alabama,3,Iowa,699,4831586,3093935,11.4329651547189,36099,2523338,43460,2019480,1,14
Alabama,3,Kansas,566,4831586,2894306,12.8793229857087,36099,2523338,45945,1869054,1,15
Alabama,3,Kentucky,2498,4831586,4406906,4.98109752055639,36099,2523338,35902,2407562,1,16
Alabama,3,Louisiana,1429,4831586,4626040,5.44294212410297,36099,2523338,40898,2641657,1,17
Alabama,3,Maine,52,4831586,1328543,21.6371863825477,36099,2523338,40154,803641,1,18
Alabama,3,Maryland,960,4831586,5925197,11.837388505843,36099,2523338,53039,3493921,1,19
Alabama,3,Massachusetts,972,4831586,6715158,17.746086068917,36099,2523338,57362,4353568,1,20
Alabama,3,Michigan,2801,4831586,9914802,10.917835980458,36099,2523338,39355,5323762,1,21
Alabama,3,Minnesota,487,4831586,5414722,15.4570772246487,36099,2523338,47932,3556487,1,22
Alabama,3,Mississippi,7706,4831586,2989839,2.83759875603229,36099,2523338,33840,1532583,1,23
Alabama,3,Missouri,1501,4831586,6042989,7.93854309848409,36099,2523338,40308,3565922,1,24
Alabama,3,Montana,537,4831586,1014158,26.8976490252795,36099,2523338,40152,641917,1,25
Alabama,3,Nebraska,173,4831586,1865813,15.648712917564,36099,2523338,46582,1266477,1,26
Alabama,3,Nevada,569,4831586,2776956,30.5412530271869,36099,2523338,39271,1561388,1,27
Alabama,3,New Hampshire,0,4831586,1327272,18.7425779288207,36099,2523338,50721,835032,1,28
Alabama,3,New Jersey,743,4831586,8857821,14.237834845523,36099,2523338,56048,5132846,1,29
Alabama,3,New Mexico,1838,4831586,2092833,19.3491553431003,36099,2523338,35090,1075465,1,30
Alabama,3,New York,2735,4831586,19626488,15.208170555399,36099,2523338,54496,11619137,1,31
Alabama,3,North Carolina,5663,4831586,9846717,7.94015585266918,36099,2523338,38188,5437125,1,32
Alabama,3,North Dakota,148,4831586,723149,20.0220007332487,36099,2523338,53738,587398,1,33
Alabama,3,Ohio,3678,4831586,11579692,8.51861258777688,36099,2523338,41087,6680769,1,34
Alabama,3,Oklahoma,669,4831586,3853891,11.0393904009315,36099,2523338,43090,2248291,1,35
Alabama,3,Oregon,228,4831586,3924110,35.5213487719158,36099,2523338,40003,2259714,1,36
Alabama,3,Pennsylvania,1488,4831586,12779538,12.1184321152575,36099,2523338,46400,7350854,1,37
Alabama,3,Rhode Island,121,4831586,1055560,17.6499276485593,36099,2523338,46205,602429,1,38
Alabama,3,South Carolina,1795,4831586,4766469,6.03630154561345,36099,2523338,35713,2500792,1,39
Alabama,3,South Dakota,318,4831586,842751,17.7552591495404,36099,2523338,45219,581384,1,40
Alabama,3,Tennessee,8806,4831586,6496943,3.09086542353073,36099,2523338,39406,3688630,1,41
