Destination,Year,Origin,Migration,Population: Destination,Population: Origin,Euclidean Distance,Per cap per inc: Destination,Total Employment: Destination,Per cap per inc: Origin,Total Employment: Origin
Alabama,2013,Michigan,2801,4831586,9914802,10.917835980458,36099,2523338,39355,5323762
Alabama,2013,Minnesota,487,4831586,5414722,15.4570772246487,36099,2523338,47932,3556487
Alabama,2013,Mississippi,7706,4831586,2989839,2.83759875603229,36099,2523338,33840,1532583
Alabama,2013,Missouri,1501,4831586,6042989,7.93854309848409,36099,2523338,40308,3565922
Alabama,2013,Montana,537,4831586,1014158,26.8976490252795,36099,2523338,40152,641917
Alabama,2013,Nebraska,173,4831586,1865813,15.648712917564,36099,2523338,46582,1266477
Alabama,2013,Nevada,569,4831586,2776956,30.5412530271869,36099,2523338,39271,1561388
Alabama,2013,New Hampshire,0,4831586,1327272,18.7425779288207,36099,2523338,50721,835032
Alabama,2013,New Jersey,743,4831586,8857821,14.237834845523,36099,2523338,56048,5132846
Alabama,2013,New Mexico,1838,4831586,2092833,19.3491553431003,36099,2523338,35090,1075465
Alabama,2013,New York,2735,4831586,19626488,15.208170555399,36099,2523338,54496,11619137
Alabama,2013,North Carolina,5663,4831586,9846717,7.94015585266918,36099,2523338,38188,5437125
Alabama,2013,North Dakota,148,4831586,723149,20.0220007332487,36099,2523338,53738,587398
Alabama,2013,Ohio,3678,4831586,11579692,8.51861258777688,36099,2523338,41087,6680769
Alabama,2013,Oklahoma,669,4831586,3853891,11.0393904009315,36099,2523338,43090,2248291
Alabama,2013,Oregon,228,4831586,3924110,35.5213487719158,36099,2523338,40003,2259714
Alabama,2013,Pennsylvania,1488,4831586,12779538,12.1184321152575,36099,2523338,46400,7350854
Alabama,2013,Rhode Island,121,4831586,1055560,17.6499276485593,36099,2523338,46205,602429
Alabama,2013,South Carolina,1795,4831586,4766469,6.03630154561345,36099,2523338,35713,2500792
Alabama,2013,South Dakota,318,4831586,842751,17.7552591495404,36099,2523338,45219,581384
Alabama,2013,Tennessee,8806,4831586,6496943,3.09086542353073,36099,2523338,39406,3688630
Alabama,2013,Texas,4413,4831586,26479646,12.5925259082707,36099,2523338,43797,15529989
Alabama,2013,Utah,1881,4831586,2898773,25.6946488672117,36099,2523338,36715,1753371
Alabama,2013,Vermont,19,4831586,626603,18.1109646138954,36099,2523338,45912,425029
Alabama,2013,Virginia,3303,4831586,8255861,9.24245058021394,36099,2523338,48838,4898765
Alabama,2013,Washington,589,4831586,6966252,36.6310897003859,36099,2523338,48280,3991724
Alabama,2013,West Virginia,109,4831586,1854768,8.53620314180072,36099,2523338,34929,913619
