GeoName,Year,In_Mig,Alabama,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,per_cap_per_inc,per_inc,pop,Tot_emp,Out_Mig,Net_Mig,GeoAbb
Arizona,2012,226249,1331,0,1214,44889,13790,417,246,36,5553,2263,2934,10744,2930,2702,2498,1328,724,616,3007,1961,9598,8570,293,2595,1118,2293,6712,510,2564,6946,7402,2721,877,7906,1626,8587,4280,614,1070,1472,5075,14788,5916,207,2763,13247,765,3765,2786,36125,236846.1,6556344,3295537,203457,22792,AZ
Arizona,2013,228952,2140,0,310,47959,8325,1029,534,230,6828,2647,3563,7264,3688,2680,1818,885,1478,881,1812,1331,8099,5618,500,2768,2087,2749,9442,462,3817,6526,6846,2583,906,3692,1701,9331,5726,464,2045,1508,3292,17742,9093,306,3771,14756,188,5694,1838,36604,242856,6634690,3371219,181292,47660,AZ
Arizona,2014,244679,785,0,1180,57446,9663,458,500,185,9149,4393,3825,11858,2431,2739,2355,2366,1454,762,2206,2039,9378,4541,950,6000,1399,1782,7013,875,2923,8522,7309,3932,1408,6908,2124,6548,4292,1650,1027,1508,1602,16411,5118,661,3202,13152,32,5948,2670,38232,257410.4,6732873,3448173,198635,46044,AZ
Arizona,2015,248693,607,0,553,54646,11039,2417,927,330,7833,3671,2835,11017,4087,3963,2625,3599,1801,780,2105,3030,9069,8499,544,4069,1798,986,7153,445,2782,8030,5564,5323,1150,5147,3906,7163,3910,298,842,1582,3253,13025,10165,406,3801,14183,0,5262,2473,39699,271258,6832810,3547627,181117,67576,AZ
Arizona,2016,268972,894,0,1205,64756,11895,1596,420,276,9306,4242,2775,13387,5443,2649,3383,1105,679,355,1467,4028,6525,5461,568,3708,2414,1312,7350,224,3971,9453,3029,4605,1662,3839,7494,9279,4651,51,1768,2408,1834,14923,9979,817,8809,13897,1419,6736,925,40779,283199.3,6944767,3645936,189075,79897,AZ
Arizona,2017,256821,1337,0,1763,59233,12810,730,810,362,8522,5278,3991,13095,3381,3423,2506,1708,2174,194,1108,2382,5651,7093,1261,5195,2436,1870,7647,578,4329,6455,5674,4429,2725,5095,4856,10701,6332,141,1214,1458,2194,12793,8594,96,3593,14392,318,3897,997,42566,300007.5,7048088,3740960,160161,96660,AZ
Arizona,2018,270380,2801,0,1487,68516,11517,503,49,26,6701,3149,2733,13247,2555,3049,3802,1265,1416,353,2955,1299,4477,6206,1780,4476,1419,1663,8057,1500,4084,6866,5281,6587,2169,6322,2530,13697,3692,323,2252,913,1291,20245,5828,37,4956,17560,29,7788,929,44558,319226.3,7164228,3853621,176509,93871,AZ
Arizona,2019,246792,1750,0,1022,59713,14684,895,653,239,7358,3947,2961,10915,3156,2982,3742,383,1650,218,1905,2745,7914,5868,393,2248,1636,2307,7514,392,3221,7251,6079,4038,1012,5178,2042,6979,4906,227,304,989,2253,17482,8917,662,3837,17636,237,3688,664,45975,335243.1,7291843,3969347,171942,74850,AZ
Arkansas,2011,69272,691,439,0,4077,746,519,79,0,3067,1446,179,3684,1362,851,2008,213,2120,30,133,781,1881,232,1731,7314,713,332,641,52,341,775,674,1664,214,174,3761,632,567,0,235,0,6462,14767,0,0,1245,1477,24,687,252,33856,99571.5,2941038,1561948,76794,-7522,AR
Arkansas,2012,76093,374,1677,0,3525,603,185,0,205,2682,1525,0,3576,1172,409,1033,1310,3953,17,169,254,1283,295,3689,9105,258,166,121,0,157,547,2262,3057,0,1135,9938,193,516,59,52,673,4195,11767,269,0,1159,251,84,695,1498,36231,106984.7,2952876,1565142,64747,11346,AR
