GeoName,county_state,variable,value,rent_ppp
North Carolina,NC,2015,5.8,78.7
North Dakota,ND,2015,2.4,86.3
Ohio,OH,2015,3.7,72.9
Oklahoma,OK,2015,5.1,72
Oregon,OR,2015,5.2,101.5
Pennsylvania,PA,2015,4.8,88.7
Rhode Island,RI,2015,5.6,100.2
South Carolina,SC,2015,5.4,76.3
South Dakota,SD,2015,5,68.5
Tennessee,TN,2015,4.5,73.7
Texas,TX,2015,11.3,92.9
Utah,UT,2015,4,91.1
Vermont,VT,2015,3.2,117
Virginia,VA,2015,4.3,111.7
Washington,WA,2015,7.8,113.1
West Virginia,WV,2015,9.4,66
Wisconsin,WI,2015,5.4,85.8
Wyoming,WY,2015,3.4,91.5
Alabama,AL,2016,7.1,63.1
Arizona,AZ,2016,19.1,91.7
Arkansas,AR,2016,4.5,63.7
California,CA,2016,8.6,148.2
Colorado,CO,2016,2,117.5
Connecticut,CT,2016,5.3,115.2
Delaware,DE,2016,4.5,97.1
District of Columbia,DC,2016,6.2,145.1
Florida,FL,2016,5.2,106
Georgia,GA,2016,5.9,81.1
Idaho,ID,2016,5.3,77.5
Illinois,IL,2016,5.5,98.4
Indiana,IN,2016,3.8,73.7
Iowa,IA,2016,4.1,75.1
Kansas,KS,2016,5.5,74.5
Kentucky,KY,2016,3.2,67.1
Louisiana,LA,2016,7.8,76.1
Maine,ME,2016,3.4,94.3
Maryland,MD,2016,6.4,121.8
Massachusetts,MA,2016,4.3,122.8
Michigan,MI,2016,5.9,80.9
Minnesota,MN,2016,3.8,95.3
Mississippi,MS,2016,7.5,64.9
Missouri,MO,2016,5.4,73
Montana,MT,2016,3.7,80.9
Nebraska,NE,2016,2.7,76.1
Nevada,NV,2016,6.2,94.6
New Hampshire,NH,2016,2.3,118.1
New Jersey,NJ,2016,4.6,132.4
New Mexico,NM,2016,7.3,80.1
New York,NY,2016,4.5,133
North Carolina,NC,2016,5.2,78.5
North Dakota,ND,2016,4.4,82.7
Ohio,OH,2016,3.7,72.7
Oklahoma,OK,2016,6,70.1
Oregon,OR,2016,4.5,105.9
Pennsylvania,PA,2016,4.6,88.7
Rhode Island,RI,2016,4.8,100.4
South Carolina,SC,2016,4.5,77.1
South Dakota,SD,2016,4.6,69.2
Tennessee,TN,2016,3.9,75.7
Texas,TX,2016,13.9,93.7
Utah,UT,2016,3.7,94.2
Vermont,VT,2016,2.8,113
Virginia,VA,2016,3.9,109.6
Washington,WA,2016,7.4,116
West Virginia,WV,2016,10.2,63.1
Wisconsin,WI,2016,4.6,84.7
Wyoming,WY,2016,5,92.8
Alabama,AL,2017,5.2,63.1
Arizona,AZ,2017,17.2,92.9
Arkansas,AR,2017,4.1,62
California,CA,2017,7.5,150.5
Colorado,CO,2017,1.5,120.6
Connecticut,CT,2017,4.8,113.1
Delaware,DE,2017,4.4,97
District of Columbia,DC,2017,6.1,154.5
Florida,FL,2017,4.4,106.7
Georgia,GA,2017,4.9,81.5
Idaho,ID,2017,4.6,77.7
Illinois,IL,2017,4.4,97.4
Indiana,IN,2017,2.9,73.8
Iowa,IA,2017,3.4,75.2
Kansas,KS,2017,5.2,74.2
Kentucky,KY,2017,3.2,67.1
Louisiana,LA,2017,6.4,75.2
Maine,ME,2017,3,92.5
Maryland,MD,2017,6.1,121.7
Massachusetts,MA,2017,4,121.7
Michigan,MI,2017,5.5,81
Minnesota,MN,2017,3.4,96
Mississippi,MS,2017,6.3,62.7
Missouri,MO,2017,4.5,73
Montana,MT,2017,3.6,83.1
Nebraska,NE,2017,2.6,74.7
Nevada,NV,2017,5,96.7
New Hampshire,NH,2017,2.3,116.6
New Jersey,NJ,2017,4.1,129.9
New Mexico,NM,2017,6.6,80.1
New York,NY,2017,4.4,131.7
North Carolina,NC,2017,4.6,79.7
North Dakota,ND,2017,2.5,78.2
Ohio,OH,2017,3.7,72
Oklahoma,OK,2017,3.9,69.9
Oregon,OR,2017,3.7,106.4
Pennsylvania,PA,2017,4.4,86.4
Rhode Island,RI,2017,4,94.8
South Carolina,SC,2017,3.9,77.2
South Dakota,SD,2017,5,70.2
Tennessee,TN,2017,3,76.2
Texas,TX,2017,11.3,94.4
Utah,UT,2017,3.5,93.9
Vermont,VT,2017,2.6,116.4
Virginia,VA,2017,3.6,108.8
Washington,WA,2017,6.7,119.4
West Virginia,WV,2017,7.1,61.4
Wisconsin,WI,2017,3.7,84.2
Wyoming,WY,2017,4.1,85.6
Alabama,AL,2018,4.2,61.8
Arizona,AZ,2018,17,94.3
Arkansas,AR,2018,4.1,60.8
California,CA,2018,6.5,152.6
Colorado,CO,2018,1.9,120.7
Connecticut,CT,2018,4.3,109.5
Delaware,DE,2018,3.7,92.4
District of Columbia,DC,2018,5.7,146.2
Florida,FL,2018,3.9,107.9
Georgia,GA,2018,4.5,82.1
Idaho,ID,2018,4.1,80.1
Illinois,IL,2018,4,96.5
Indiana,IN,2018,2.8,74.3
Iowa,IA,2018,2.7,74.3
Kansas,KS,2018,4.8,75.3
Kentucky,KY,2018,3,67.8
Louisiana,LA,2018,6.1,73.8
Maine,ME,2018,2.8,97.8
Maryland,MD,2018,5.6,119.2
Massachusetts,MA,2018,3.7,124
Michigan,MI,2018,4.7,80.2
Minnesota,MN,2018,3.1,94.7
Mississippi,MS,2018,5.7,63.2
Missouri,MO,2018,3.9,72.3
Montana,MT,2018,3.4,82.8
Nebraska,NE,2018,2.5,75.7
Nevada,NV,2018,4.6,99.3
New Hampshire,NH,2018,2.2,113.7
New Jersey,NJ,2018,3.7,131.2
New Mexico,NM,2018,5.4,76.4
New York,NY,2018,3.8,131.5
North Carolina,NC,2018,3.7,79
North Dakota,ND,2018,1.9,80.9
Ohio,OH,2018,3.2,72
Oklahoma,OK,2018,2.6,70.2
Oregon,OR,2018,3.6,107.8
Pennsylvania,PA,2018,4,87.3
Rhode Island,RI,2018,3.6,95.6
South Carolina,SC,2018,3.2,76.8
South Dakota,SD,2018,5,69.9
Tennessee,TN,2018,2.8,75.1
Texas,TX,2018,9.7,94.5
Utah,UT,2018,3.3,96.1
Vermont,VT,2018,2.3,112.6
Virginia,VA,2018,2.9,108.8
Washington,WA,2018,6.2,123.8
West Virginia,WV,2018,6.9,63
Wisconsin,WI,2018,3.5,83.7
Wyoming,WY,2018,3.5,80.7
Alabama,AL,2019,3.3,61.9
Arizona,AZ,2019,16.8,94.1
Arkansas,AR,2019,4,60.9
California,CA,2019,6.2,153.6
Colorado,CO,2019,1.5,124.7
Connecticut,CT,2019,3.9,107.6
Delaware,DE,2019,3.7,95
District of Columbia,DC,2019,5.4,146.4
Florida,FL,2019,3.6,109.4
Georgia,GA,2019,3.9,82.6
Idaho,ID,2019,3.9,80.6
Illinois,IL,2019,3.6,94.7
Indiana,IN,2019,2.9,72.8
Iowa,IA,2019,2.6,73
Kansas,KS,2019,4.3,72.7
Kentucky,KY,2019,3,67.7
Louisiana,LA,2019,6.1,72.1
Maine,ME,2019,2.4,91.7
Maryland,MD,2019,5,119.3
Massachusetts,MA,2019,3.3,124.3
Michigan,MI,2019,4.4,80.2
Minnesota,MN,2019,3.7,96.1
Mississippi,MS,2019,6.4,60
Missouri,MO,2019,3.9,72.4
Montana,MT,2019,3.3,85.3
Nebraska,NE,2019,2.6,75.6
Nevada,NV,2019,3.9,101.8
New Hampshire,NH,2019,2.3,113.9
New Jersey,NJ,2019,3.2,130.7
New Mexico,NM,2019,5.5,78.1
New York,NY,2019,3.6,130
North Carolina,NC,2019,3.6,78.8
North Dakota,ND,2019,1.8,75.2
Ohio,OH,2019,3.1,71.7
Oklahoma,OK,2019,2.7,68.6
Oregon,OR,2019,3.4,109.7
Pennsylvania,PA,2019,3.9,86.8
Rhode Island,RI,2019,3.2,101.2
South Carolina,SC,2019,2.7,78.2
South Dakota,SD,2019,5,69
Tennessee,TN,2019,2.7,76.8
Texas,TX,2019,8.4,94.9
Utah,UT,2019,2.9,98.2
Vermont,VT,2019,2,109.8
Virginia,VA,2019,2.7,107.4
Washington,WA,2019,7,122.9
West Virginia,WV,2019,7,60.9
Wisconsin,WI,2019,3.7,83.7
Wyoming,WY,2019,3,82.4
